Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.86      2.35     2.35 300180001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
 22.18      4.64     2.29 300180003     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  6.65      5.33     0.69 300160000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  6.02      5.95     0.62 300180003     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  5.24      6.49     0.54 300480000     0.00     0.00  std::_Bit_iterator::operator*() const
  5.19      7.02     0.54 300160000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  4.66      7.50     0.48 300220004     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  4.51      7.96     0.47 300400000     0.00     0.00  std::_Bit_reference::operator bool() const
  4.17      8.39     0.43 300180003     0.00     0.00  std::_Bit_iterator::operator+=(long)
  3.59      8.77     0.37 300800000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.50      9.12     0.36 300060000     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long)
  2.28      9.36     0.23 300400016     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.75      9.54     0.18      526     0.00     0.01  KosarajuAdjMatrix::dfs(int, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  1.65      9.71     0.17     1195     0.00     0.00  KosarajuAdjMatrix::dfsOnTranspose(int, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&)
  1.41      9.86     0.14        3     0.05     0.05  std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&)
  1.26      9.98     0.13        1     0.13     3.32  KosarajuAdjMatrix::transposeGraph()
  0.73     10.06     0.07                             _GLOBAL__sub_I_main
  0.68     10.13     0.07                             operator delete(void*, void*)
  0.58     10.19     0.06        1     0.06     0.08  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::resize(unsigned long, std::vector<bool, std::allocator<bool> > const&)
  0.53     10.24     0.06    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.44     10.29     0.04   400000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.10     10.30     0.01        2     0.01     0.01  std::allocator<std::vector<bool, std::allocator<bool> > >::allocator()
  0.00     10.30     0.00   640000     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  0.00     10.30     0.00   320000     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00     10.30     0.00   320000     0.00     0.00  std::_Bit_iterator::operator++()
  0.00     10.30     0.00   320000     0.00     0.00  std::_Bit_const_iterator::operator++()
