Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   140002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00   130001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00   130000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.00     0.00   120482     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00   120000     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00   103186     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00   101231     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00   100006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00   100002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00   100001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00   100001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.00     0.00   100001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.00     0.00   100001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00   100000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00   100000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.00     0.00   100000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00   100000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.00     0.00    90001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.00     0.00    90000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  0.00      0.00     0.00    90000     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00    90000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00    80000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00    50001     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.00     0.00    50000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00    50000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00    40322     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.00     0.00    40244     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.00     0.00    40088     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00    40010     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.00     0.00    40010     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.00     0.00    40010     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
