Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 21.39      1.88     1.88 300180001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
 17.29      3.40     1.52 300180003     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  8.42      4.14     0.74 300180003     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  7.79      4.83     0.69 300480000     0.00     0.00  std::_Bit_iterator::operator*() const
  5.80      5.33     0.51 300400000     0.00     0.00  std::_Bit_reference::operator bool() const
  5.80      5.84     0.51 300160000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  5.75      6.35     0.51 300160000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  4.95      6.79     0.43 300400016     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.24      7.07     0.28 300220004     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.19      7.35     0.28 300180003     0.00     0.00  std::_Bit_iterator::operator+=(long)
  3.07      7.62     0.27     1195     0.00     0.00  KosarajuAdjMatrix::dfsOnTranspose(int, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&)
  3.01      7.88     0.27 300800000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  2.45      8.10     0.21 300060000     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long)
  2.39      8.31     0.21        1     0.21     2.86  KosarajuAdjMatrix::transposeGraph()
  2.28      8.51     0.20      526     0.00     0.01  KosarajuAdjMatrix::dfs(int, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  0.74      8.57     0.07   400000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.63      8.63     0.06                             _GLOBAL__sub_I_main
  0.51      8.68     0.04    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.46      8.71     0.04                             operator delete(void*, void*)
  0.34      8.74     0.03        1     0.03     0.06  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::resize(unsigned long, std::vector<bool, std::allocator<bool> > const&)
  0.34      8.78     0.03        1     0.03     0.03  std::__fill_bvector(unsigned long*, unsigned int, unsigned int, bool)
  0.17      8.79     0.01        2     0.01     0.01  std::allocator<std::vector<bool, std::allocator<bool> > >::allocator()
  0.00      8.79     0.00   640000     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  0.00      8.79     0.00   320000     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00      8.79     0.00   320000     0.00     0.00  std::_Bit_iterator::operator++()
  0.00      8.79     0.00   320000     0.00     0.00  std::_Bit_const_iterator::operator++()
  0.00      8.79     0.00    80012     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      8.79     0.00    60006     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      8.79     0.00    60006     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      8.79     0.00    60000     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      8.79     0.00    60000     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00      8.79     0.00    43242     0.00     0.00  operator new(unsigned long, void*)
  0.00      8.79     0.00    41287     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      8.79     0.00    40009     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      8.79     0.00    40006     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      8.79     0.00    40006     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      8.79     0.00    40003     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00      8.79     0.00    40003     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      8.79     0.00    40000     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.00      8.79     0.00    40000     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
