Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.65      0.03     0.03     5274     0.01     0.01  KosarajuDeque::dfs(int, std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
 11.76      0.05     0.02  1000000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
 11.76      0.07     0.02   400000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
 11.76      0.09     0.02    11370     0.00     0.00  KosarajuDeque::dfsOnTranspose(int, std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&)
  5.88      0.10     0.01  1000006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  5.88      0.11     0.01  1000001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  5.88      0.12     0.01   402359     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  5.88      0.13     0.01   300000     0.00     0.00  int& std::deque<int, std::allocator<int> >::emplace_back<int>(int&&)
  5.88      0.14     0.01   223539     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  5.88      0.15     0.01   200008     0.00     0.00  __gnu_cxx::new_allocator<int*>::_M_max_size() const
  5.88      0.16     0.01   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  5.88      0.17     0.01                             main
  0.00      0.17     0.00  1400002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.17     0.00  1300001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.17     0.00  1300000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.17     0.00  1204706     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.17     0.00  1200000     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.17     0.00  1027753     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.17     0.00  1012168     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.17     0.00  1000002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.17     0.00  1000001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.17     0.00  1000001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.17     0.00  1000001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.17     0.00  1000000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.17     0.00  1000000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.17     0.00  1000000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.17     0.00   900001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.17     0.00   900000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  0.00      0.17     0.00   900000     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.17     0.00   900000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.17     0.00   800000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.17     0.00   500001     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.17     0.00   500000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.17     0.00   500000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.17     0.00   403140     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.17     0.00   400797     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.17     0.00   400016     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.17     0.00   400016     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.17     0.00   400016     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.17     0.00   400016     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.17     0.00   400016     0.00     0.00  std::allocator<int*>::~allocator()
