Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.53      0.02     0.02   900000     0.00     0.00  std::_List_iterator<int>::operator++()
 10.53      0.04     0.02   300000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
 10.53      0.06     0.02   200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
 10.53      0.08     0.02        1    20.00    51.01  KosarajuList::transposeGraph[abi:cxx11]()
  5.26      0.09     0.01  1000001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  5.26      0.10     0.01   600000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  5.26      0.11     0.01   600000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  5.26      0.12     0.01   300000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  5.26      0.13     0.01   300000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int>(int&&)
  5.26      0.14     0.01   200000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  5.26      0.15     0.01   100000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  5.26      0.16     0.01    11511     0.00     0.00  KosarajuList::dfsOnTranspose(int, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&)
  5.26      0.17     0.01     5384     0.00     0.01  KosarajuList::dfs(int, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  2.63      0.17     0.01  2100000     0.00     0.00  std::_List_node<int>::_M_valptr()
  2.63      0.18     0.01  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  2.63      0.18     0.01  1000002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  2.63      0.19     0.01  1000000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.19     0.00  2100000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.19     0.00  2100000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.19     0.00  1612309     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.19     0.00  1200000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.19     0.00  1200000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.19     0.00  1200000     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.19     0.00  1027894     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.19     0.00  1000006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.19     0.00  1000001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.19     0.00  1000001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.19     0.00  1000001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.19     0.00  1000000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.19     0.00  1000000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.19     0.00  1000000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.19     0.00   900000     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.19     0.00   900000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.19     0.00   900000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.19     0.00   800000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.19     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.19     0.00   600000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.19     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.19     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      0.19     0.00   600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.19     0.00   600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.19     0.00   600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
